S-box 370: rank=12, redundant_rows=0
S-box 371: rank=7, redundant_rows=0
S-box 372: rank=12, redundant_rows=0
S-box 373: rank=12, redundant_rows=0
S-box 374: rank=7, redundant_rows=0
S-box 375: rank=12, redundant_rows=0
S-box 376: rank=12, redundant_rows=0
S-box 377: rank=12, redundant_rows=0
S-box 378: rank=12, redundant_rows=0
S-box 379: rank=12, redundant_rows=0
S-box 380: rank=12, redundant_rows=0
S-box 381: rank=12, redundant_rows=0
S-box 382: rank=12, redundant_rows=0
S-box 383: rank=12, redundant_rows=0
S-box 384: rank=12, redundant_rows=0
S-box 385: rank=12, redundant_rows=0
S-box 386: rank=12, redundant_rows=0
S-box 387: rank=12, redundant_rows=0
S-box 388: rank=12, redundant_rows=0
S-box 389: rank=12, redundant_rows=0
S-box 390: rank=12, redundant_rows=0
S-box 391: rank=12, redundant_rows=0
S-box 392: rank=12, redundant_rows=0
S-box 393: rank=7, redundant_rows=0
S-box 394: rank=12, redundant_rows=0
S-box 395: rank=12, redundant_rows=0
S-box 396: rank=12, redundant_rows=0
S-box 397: rank=12, redundant_rows=0
S-box 398: rank=7, redundant_rows=0
S-box 399: rank=12, redundant_rows=0
S-box 400: rank=12, redundant_rows=0
S-box 401: rank=12, redundant_rows=0
S-box 402: rank=12, redundant_rows=0
S-box 403: rank=7, redundant_rows=0
S-box 404: rank=12, redundant_rows=0
S-box 405: rank=7, redundant_rows=0
S-box 406: rank=12, redundant_rows=0
S-box 407: rank=7, redundant_rows=0
S-box 408: rank=12, redundant_rows=0
S-box 409: rank=12, redundant_rows=0
S-box 410: rank=12, redundant_rows=0
S-box 411: rank=12, redundant_rows=0
S-box 412: rank=12, redundant_rows=0
S-box 413: rank=12, redundant_rows=0
S-box 414: rank=12, redundant_rows=0
S-box 415: rank=12, redundant_rows=0
S-box 416: rank=7, redundant_rows=0
S-box 417: rank=7, redundant_rows=0
S-box 418: rank=7, redundant_rows=0
S-box 419: rank=12, redundant_rows=0
S-box 420: rank=12, redundant_rows=0
S-box 421: rank=12, redundant_rows=0
S-box 422: rank=12, redundant_rows=0
S-box 423: rank=12, redundant_rows=0
S-box 424: rank=12, redundant_rows=0
S-box 425: rank=12, redundant_rows=0
S-box 426: rank=12, redundant_rows=0
S-box 427: rank=12, redundant_rows=0
S-box 428: rank=7, redundant_rows=0
S-box 429: rank=12, redundant_rows=0
S-box 430: rank=12, redundant_rows=0
S-box 431: rank=12, redundant_rows=0
S-box 432: rank=12, redundant_rows=0
S-box 433: rank=12, redundant_rows=0
S-box 434: rank=12, redundant_rows=0
S-box 435: rank=12, redundant_rows=0
S-box 436: rank=12, redundant_rows=0
S-box 437: rank=12, redundant_rows=0
S-box 438: rank=12, redundant_rows=0
S-box 439: rank=12, redundant_rows=0
S-box 440: rank=12, redundant_rows=0
S-box 441: rank=7, redundant_rows=0
S-box 442: rank=12, redundant_rows=0
S-box 443: rank=12, redundant_rows=0
S-box 444: rank=12, redundant_rows=0
S-box 445: rank=12, redundant_rows=0
S-box 446: rank=12, redundant_rows=0
S-box 447: rank=12, redundant_rows=0
S-box 448: rank=12, redundant_rows=0
S-box 449: rank=12, redundant_rows=0
S-box 450: rank=12, redundant_rows=0
S-box 451: rank=12, redundant_rows=0
S-box 452: rank=7, redundant_rows=0
S-box 453: rank=12, redundant_rows=0
S-box 454: rank=12, redundant_rows=0
S-box 455: rank=12, redundant_rows=0
S-box 456: rank=12, redundant_rows=0
S-box 457: rank=12, redundant_rows=0
S-box 458: rank=7, redundant_rows=0
S-box 459: rank=12, redundant_rows=0
S-box 460: rank=12, redundant_rows=0
S-box 461: rank=12, redundant_rows=0
S-box 462: rank=12, redundant_rows=0
S-box 463: rank=12, redundant_rows=0
S-box 464: rank=7, redundant_rows=0
S-box 465: rank=12, redundant_rows=0
S-box 466: rank=12, redundant_rows=0
S-box 467: rank=12, redundant_rows=0
S-box 468: rank=7, redundant_rows=0
S-box 469: rank=7, redundant_rows=0
S-box 470: rank=12, redundant_rows=0
S-box 471: rank=12, redundant_rows=0
S-box 472: rank=12, redundant_rows=0
S-box 473: rank=7, redundant_rows=0
S-box 474: rank=12, redundant_rows=0
S-box 475: rank=12, redundant_rows=0
S-box 476: rank=12, redundant_rows=0
S-box 477: rank=12, redundant_rows=0
S-box 478: rank=12, redundant_rows=0
S-box 479: rank=12, redundant_rows=0
S-box 480: rank=7, redundant_rows=0
S-box 481: rank=12, redundant_rows=0
S-box 482: rank=12, redundant_rows=0
S-box 483: rank=12, redundant_rows=0
S-box 484: rank=12, redundant_rows=0
S-box 485: rank=12, redundant_rows=0
S-box 486: rank=12, redundant_rows=0
S-box 487: rank=12, redundant_rows=0
S-box 488: rank=12, redundant_rows=0
S-box 489: rank=7, redundant_rows=0
S-box 490: rank=12, redundant_rows=0
S-box 491: rank=12, redundant_rows=0
S-box 492: rank=12, redundant_rows=0
S-box 493: rank=12, redundant_rows=0
S-box 494: rank=12, redundant_rows=0
S-box 495: rank=12, redundant_rows=0
S-box 496: rank=12, redundant_rows=0
S-box 497: rank=12, redundant_rows=0
S-box 498: rank=12, redundant_rows=0
S-box 499: rank=12, redundant_rows=0
S-box 500: rank=12, redundant_rows=0
S-box 501: rank=12, redundant_rows=0
S-box 502: rank=7, redundant_rows=0
S-box 503: rank=12, redundant_rows=0
S-box 504: rank=12, redundant_rows=0
S-box 505: rank=12, redundant_rows=0
S-box 506: rank=7, redundant_rows=0
S-box 507: rank=12, redundant_rows=0
S-box 508: rank=12, redundant_rows=0
S-box 509: rank=12, redundant_rows=0
S-box 510: rank=12, redundant_rows=0
S-box 511: rank=12, redundant_rows=0
S-box 512: rank=7, redundant_rows=0
S-box 513: rank=12, redundant_rows=0
S-box 514: rank=12, redundant_rows=0
S-box 515: rank=7, redundant_rows=0
S-box 516: rank=12, redundant_rows=0
S-box 517: rank=12, redundant_rows=0
S-box 518: rank=7, redundant_rows=0
S-box 519: rank=12, redundant_rows=0
S-box 520: rank=7, redundant_rows=0
S-box 521: rank=12, redundant_rows=0
S-box 522: rank=12, redundant_rows=0
S-box 523: rank=12, redundant_rows=0
S-box 524: rank=12, redundant_rows=0
S-box 525: rank=12, redundant_rows=0
S-box 526: rank=12, redundant_rows=0
S-box 527: rank=12, redundant_rows=0
S-box 528: rank=12, redundant_rows=0
S-box 529: rank=12, redundant_rows=0
S-box 530: rank=12, redundant_rows=0
S-box 531: rank=12, redundant_rows=0
S-box 532: rank=12, redundant_rows=0
S-box 533: rank=12, redundant_rows=0
S-box 534: rank=12, redundant_rows=0
S-box 535: rank=12, redundant_rows=0
S-box 536: rank=7, redundant_rows=0
S-box 537: rank=12, redundant_rows=0
S-box 538: rank=12, redundant_rows=0
S-box 539: rank=12, redundant_rows=0
S-box 540: rank=12, redundant_rows=0
S-box 541: rank=12, redundant_rows=0
S-box 542: rank=12, redundant_rows=0
S-box 543: rank=12, redundant_rows=0
S-box 544: rank=12, redundant_rows=0
S-box 545: rank=7, redundant_rows=0
S-box 546: rank=12, redundant_rows=0
S-box 547: rank=7, redundant_rows=0
S-box 548: rank=12, redundant_rows=0
S-box 549: rank=12, redundant_rows=0
S-box 550: rank=12, redundant_rows=0
S-box 551: rank=12, redundant_rows=0
S-box 552: rank=12, redundant_rows=0
S-box 553: rank=12, redundant_rows=0
S-box 554: rank=12, redundant_rows=0
S-box 555: rank=12, redundant_rows=0
S-box 556: rank=12, redundant_rows=0
S-box 557: rank=12, redundant_rows=0
S-box 558: rank=7, redundant_rows=0
S-box 559: rank=12, redundant_rows=0
S-box 560: rank=12, redundant_rows=0
S-box 561: rank=12, redundant_rows=0
S-box 562: rank=12, redundant_rows=0
S-box 563: rank=12, redundant_rows=0
S-box 564: rank=12, redundant_rows=0
S-box 565: rank=12, redundant_rows=0
S-box 566: rank=12, redundant_rows=0
S-box 567: rank=12, redundant_rows=0
S-box 568: rank=12, redundant_rows=0
S-box 569: rank=7, redundant_rows=0
S-box 570: rank=7, redundant_rows=0
S-box 571: rank=12, redundant_rows=0
S-box 572: rank=12, redundant_rows=0
S-box 573: rank=12, redundant_rows=0
S-box 574: rank=12, redundant_rows=0
S-box 575: rank=12, redundant_rows=0
S-box 576: rank=12, redundant_rows=0
S-box 577: rank=12, redundant_rows=0
S-box 578: rank=12, redundant_rows=0
S-box 579: rank=12, redundant_rows=0
S-box 580: rank=12, redundant_rows=0
S-box 581: rank=12, redundant_rows=0
S-box 582: rank=12, redundant_rows=0
S-box 583: rank=12, redundant_rows=0
S-box 584: rank=12, redundant_rows=0
S-box 585: rank=12, redundant_rows=0
S-box 586: rank=7, redundant_rows=0
S-box 587: rank=12, redundant_rows=0
S-box 588: rank=12, redundant_rows=0
S-box 589: rank=12, redundant_rows=0
S-box 590: rank=12, redundant_rows=0
S-box 591: rank=12, redundant_rows=0
S-box 592: rank=12, redundant_rows=0
S-box 593: rank=12, redundant_rows=0
S-box 594: rank=7, redundant_rows=0
S-box 595: rank=12, redundant_rows=0
S-box 596: rank=12, redundant_rows=0
S-box 597: rank=12, redundant_rows=0
